date,amount,description,type
2026-01-16,450,SWIGGY FOOD ORDER,debit
2026-01-16,200,UBER RIDE TO OFFICE,debit
2026-01-15,1500,AMAZON PRIME RENEWAL,debit
2026-01-15,89,STARBUCKS COFFEE,debit
2026-01-15,75000,SALARY CREDIT JAN,credit
2026-01-14,15000,RENT PAYMENT KUMAR FLATS,debit
2026-01-14,2340,RELIANCE FRESH GROCERIES,debit
2026-01-13,599,NETFLIX SUBSCRIPTION,debit
2026-01-13,150,PAYTM MOBILE RECHARGE,debit
2026-01-13,2500,ELECTRICITY BILL BSES,debit
2026-01-12,850,ZOMATO DINNER ORDER,debit
2026-01-12,75000,SUSPICIOUS LARGE TRANSFER,debit
2026-01-11,299,SPOTIFY PREMIUM,debit
2026-01-11,1200,PETROL INDIAN OIL,debit
2026-01-10,3500,MYNTRA SHOPPING,debit
2026-01-10,180,CHAI POINT SNACKS,debit
2026-01-09,15000,FREELANCE INCOME,credit
2026-01-09,2500,CULT FIT MEMBERSHIP,debit
2026-01-08,750,APOLLO PHARMACY MEDICINES,debit
2026-01-08,1800,PVR INOX MOVIE TICKETS,debit
2026-01-07,45000,UNUSUAL MIDNIGHT TRANSACTION,debit
2026-01-07,400,RAPIDO BIKE RIDE,debit
2026-01-06,1100,AIRTEL PHONE BILL,debit
2026-01-06,650,BIGBASKET VEGETABLES,debit
2026-01-05,2000,ATM CASH WITHDRAWAL,debit
2026-01-05,350,DOMINOS PIZZA ORDER,debit
2026-01-04,25000,SIP MUTUAL FUND INVESTMENT,debit
2026-01-04,890,AMAZON BOOKS PURCHASE,debit
2026-01-03,150,UBER EATS BREAKFAST,debit
2026-01-03,99,YOUTUBE PREMIUM,debit
2026-01-02,35000,LAPTOP PURCHASE FLIPKART,debit
2026-01-02,250,CCD COFFEE,debit
2026-01-01,100000,LAND DEAL SUSPICIOUS PAYMENT,debit
2026-01-01,500,NEW YEAR PARTY EXPENSE,debit
